Mode,AP,Process time
Detector + MLLM + Information ,0.8956933398607154,3.0177588411361382
Detector + Rules,0.6585109022203908,1.0023956914225265
Detector + Rules + MLLM,0.8940092165898618,2.303307104347428
Detector + Rules + MLLM +Info,0.9483560422756858,2.322206912786405
MLLM,0.8268836987990384,2.1611937054251675
