Frame,Height,Mean
125,262,12.666666666666666
130,262,13.333333333333334
135,275,11.333333333333334
140,274,9.833333333333334
145,266,15.166666666666666
150,307,8.833333333333334
155,296,7.5
160,278,9.0
165,292,9.333333333333334
170,319,5.0
175,291,6.833333333333333
180,306,7.333333333333333
200,96,0.3333333333333333
205,100,0.3333333333333333
210,100,0.3333333333333333
215,93,0.3333333333333333
220,86,0.3333333333333333
225,80,0.3333333333333333
230,76,0.3333333333333333
235,79,0.3333333333333333
240,87,0.3333333333333333
245,100,0.3333333333333333
250,292,23.666666666666668
255,262,17.666666666666668
260,105,0.1666666666666666
265,96,0.3333333333333333
270,89,0.3333333333333333
275,83,0.3333333333333333
280,87,0.5
285,93,0.5
290,215,38.16666666666666
295,223,44.0
300,111,0.5
