Mode,mAP,Processing time ratio
Detector + MLLM + Information ,0.5979658849811107,7.131540502062776
Detector + Rules,0.5278383905329174,1.0443669191758336
Detector + Rules + MLLM,0.9477289385840245,1.893992969651711
Detector + Rules + MLLM + Information,0.871802860972486,2.161719656139778
MLLM,0.695339504368667,5.109004844848272
