Mode,mAP,Processing time ratio
Detector + MLLM + Information ,0.6027342155477324,5.884836389125738
Detector + Rules,0.5278383905329174,1.0210996264689136
Detector + Rules + MLLM,0.9236068003248712,1.839562786874136
Detector + Rules + MLLM + Information,0.8615169352339485,1.8919249989996973
MLLM,0.6741240656793,5.103976624220006
