Name,Mode,Precision,Recall,Event,Validations Number,Duration,Process time
2_069_1.mp4,0,0.8620689655172413,0.7352941176470589,a person chasing other person,83,25.0,57.17513465881348
2_069_1.mp4,1,0.0,0.0,a person chasing other person,144,25.0,57.397459268569946
2_069_1.mp4,2,0.9024390243902439,0.47435897435897434,a person chasing other person,144,25.0,77.74962019920349
2_069_1.mp4,3,0.0,0.0,a person chasing other person,83,25.0,55.83070683479309
2_069_1.mp4,4,0.46601941747572817,0.6153846153846154,a person chasing other person,144,25.0,25.8582124710083
1_082_1.mp4,0,0.5555555555555556,0.6896551724137931,a person chasing other person,51,14.981633333333333,34.19793963432312
1_082_1.mp4,1,0.8,0.25806451612903225,a person chasing other person,83,14.981633333333333,33.15308165550232
1_082_1.mp4,2,0.3125,0.6451612903225806,a person chasing other person,83,14.981633333333333,45.55719590187073
1_082_1.mp4,3,1.0,0.27586206896551724,a person chasing other person,51,14.981633333333333,34.017457246780396
1_082_1.mp4,4,0.625,0.967741935483871,a person chasing other person,55,14.981633333333333,15.458449125289917
4_108_1.mp4,0,0.5,0.07142857142857142,a person chasing other person,30,11.966666666666667,21.898425817489624
4_108_1.mp4,1,0.0,0.0,a person chasing other person,65,11.966666666666667,23.02009344100952
4_108_1.mp4,2,0.1111111111111111,0.029411764705882353,a person chasing other person,65,11.966666666666667,33.273648738861084
4_108_1.mp4,3,0.0,0.0,a person chasing other person,30,11.966666666666667,21.71205997467041
4_108_1.mp4,4,0.5909090909090909,0.7647058823529411,a person chasing other person,65,11.966666666666667,11.839778423309326
4_107_1.mp4,0,1.0,0.1724137931034483,a person chasing other person,73,24.966666666666665,48.48377251625061
4_107_1.mp4,1,0.0,0.0,a person chasing other person,143,24.966666666666665,50.510998487472534
4_107_1.mp4,2,1.0,0.1111111111111111,a person chasing other person,143,24.966666666666665,71.55540704727173
4_107_1.mp4,3,0.0,0.0,a person chasing other person,73,24.966666666666665,48.4696249961853
4_107_1.mp4,4,0.3804347826086957,0.7777777777777778,a person chasing other person,143,24.966666666666665,24.445483922958374
4_114_1.mp4,0,0.0,0.0,a person chasing other person,33,11.933333333333334,22.834073781967163
4_114_1.mp4,1,0.0,0.0,a person chasing other person,65,11.933333333333334,23.08936595916748
4_114_1.mp4,2,1.0,0.01818181818181818,a person chasing other person,65,11.933333333333334,33.089948415756226
4_114_1.mp4,3,0.0,0.0,a person chasing other person,33,11.933333333333334,22.586426496505737
4_114_1.mp4,4,0.8125,0.7090909090909091,a person chasing other person,65,11.933333333333334,11.731274366378784
3_096_1.mp4,0,0.46,0.7419354838709677,a person chasing other person,73,14.981633333333333,41.97187280654907
3_096_1.mp4,1,1.0,0.21621621621621623,a person chasing other person,83,14.981633333333333,32.645962953567505
3_096_1.mp4,2,0.47540983606557374,0.7837837837837838,a person chasing other person,83,14.981633333333333,44.97316122055054
3_096_1.mp4,3,1.0,0.25806451612903225,a person chasing other person,73,14.981633333333333,42.22108316421509
3_096_1.mp4,4,0.43243243243243246,0.8648648648648649,a person chasing other person,83,14.981633333333333,15.739875316619873
1_073_1.mp4,0,1.0,1.0,a person chasing other person,6,14.981633333333333,17.632352113723755
1_073_1.mp4,1,0.7142857142857143,0.16666666666666666,a person chasing other person,83,14.981633333333333,33.21720337867737
1_073_1.mp4,2,0.4909090909090909,0.9,a person chasing other person,83,14.981633333333333,45.48279857635498
1_073_1.mp4,3,1.0,0.3333333333333333,a person chasing other person,6,14.981633333333333,17.63263177871704
1_073_1.mp4,4,1.0,0.45454545454545453,a person chasing other person,22,14.981633333333333,15.338447093963623
3_091_1.mp4,0,0.6666666666666666,0.8235294117647058,a person chasing other person,95,19.986633333333334,55.75976800918579
3_091_1.mp4,1,1.0,0.2647058823529412,a person chasing other person,113,19.986633333333334,45.41203856468201
3_091_1.mp4,2,0.6086956521739131,0.8235294117647058,a person chasing other person,113,19.986633333333334,61.88447093963623
3_091_1.mp4,3,1.0,0.2647058823529412,a person chasing other person,95,19.986633333333334,55.363630533218384
3_091_1.mp4,4,0.34,1.0,a person chasing other person,113,19.986633333333334,20.944966316223145
2_078_1.mp4,0,0.44,0.7857142857142857,a person chasing other person,36,15.0,29.001291513442993
2_078_1.mp4,1,0.0,0.0,a person chasing other person,84,15.0,33.62326455116272
2_078_1.mp4,2,0.42105263157894735,0.8,a person chasing other person,84,15.0,46.035112380981445
2_078_1.mp4,3,0.0,0.0,a person chasing other person,36,15.0,28.736874103546143
2_078_1.mp4,4,0.39622641509433965,0.7,a person chasing other person,84,15.0,15.767668724060059
2_088_1.mp4,0,1.0,0.875,a person chasing other person,20,22.0,30.22521162033081
2_088_1.mp4,1,0.0,0.0,a person chasing other person,126,22.0,50.277304887771606
2_088_1.mp4,2,0.7045454545454546,0.62,a person chasing other person,126,22.0,68.23540329933167
2_088_1.mp4,3,0.0,0.0,a person chasing other person,20,22.0,30.1200852394104
2_088_1.mp4,4,0.5454545454545454,0.36,a person chasing other person,126,22.0,22.844467878341675
