Frame,Ratio sum,Y sum
120,2.8014145954521417,17.0
125,2.990153424989197,28.0
130,2.960655600525358,44.0
135,3.080664167764112,91.0
140,3.234394512360967,116.0
145,4.799828310513659,205.0
150,5.582163861141893,249.0
155,7.016660341092918,270.0
160,7.785795954414222,222.0
165,5.2478650137741045,4.0
165,1.9158878504672887,0.0
175,12.931251773035989,117.0
180,5.243732782369146,2.0
180,2.0766752982069194,9.0
185,5.215135117407844,17.0
190,5.145459960523386,23.0
195,5.123594516873974,43.0
120,2.8014145954521417,17.0
125,2.990153424989197,28.0
120,2.7133495548017352,18.0
125,3.0144867583225308,22.0
130,2.960655600525358,44.0
120,2.7133495548017352,18.0
125,3.0144867583225308,22.0
130,2.960655600525358,44.0
135,3.080664167764112,91.0
140,3.234394512360967,116.0
145,4.799828310513659,205.0
120,2.7133495548017352,18.0
125,3.0144867583225308,22.0
130,2.960655600525358,44.0
135,3.080664167764112,91.0
140,3.234394512360967,116.0
145,4.799828310513659,205.0
150,5.582163861141893,249.0
155,7.016660341092918,270.0
160,7.785795954414222,222.0
165,5.2478650137741045,4.0
165,1.9158878504672887,0.0
120,0.0283171118649315,18.0
125,0.1024867583225309,22.0
130,0.149180190689292,44.0
135,0.7282051513706691,91.0
140,0.863426770425483,116.0
120,0.0283171118649315,18.0
120,0.0950413223140496,6.0
120,0.0186915887850467,0.0
120,0.2143005945226992,13.0
125,0.1024867583225309,22.0
125,0.0,0.0
125,0.0186915887850467,0.0
125,0.2197443373291817,25.0
130,0.149180190689292,44.0
130,0.0247933884297517,0.0
130,0.02803738317757,0.0
130,0.3160296070106599,13.0
135,0.7282051513706691,91.0
135,0.0991735537190082,0.0
135,0.0186915887850467,0.0
140,0.863426770425483,116.0
145,1.897389286123416,205.0
150,1.7061308032906526,249.0
155,3.811052864457405,270.0
160,4.357224525842793,222.0
165,0.0412534435261709,4.0
165,0.0841121495327102,0.0
170,4.552463894248111,117.0
175,0.1633608815426996,3.0
175,0.1098973999893856,7.0
180,0.0331955922865012,4.0
180,0.1166153440542129,10.0
180,4.412420044901936,49.0
185,0.0001902138265778,10.0
185,0.0785132592231561,15.0
185,6.610751048417842,102.0
190,0.0483416923691765,29.0
190,0.0,0.0
190,0.206100647148227,21.0
195,0.0680721497926928,43.0
195,0.257489574234206,19.0
200,0.0034737017452507,48.0
200,0.0823860922307475,15.0
205,0.0800198712823991,63.0
205,0.0099683672094164,20.0
210,0.0207035996135942,34.0
210,0.2409222264343038,20.0
215,0.1921877282431159,22.0
215,0.6787995756764916,28.0
220,0.061577886172352,13.0
220,0.3959781378052138,47.0
225,0.2147222092474955,14.0
225,0.6281748534461107,18.0
230,0.5092802143255387,2.0
230,0.6062560564102262,14.0
235,0.690999527305325,12.0
235,0.0735316511184763,21.0
240,0.8206029531105752,9.0
240,0.4638582155684237,11.0
245,0.6630308377259597,14.0
245,0.39460249434674,35.0
250,0.7588233213860904,59.0
250,0.4351756213648798,34.0
255,0.8798736993686085,123.0
260,1.2405610235169655,205.0
265,1.0828507963245952,210.0
270,0.641701758509339,183.0
275,0.0332228420938562,126.0
275,0.0,0.0
280,0.4769473553614333,79.0
285,0.6057734390111844,48.0
290,0.2517225457966862,28.0
295,0.4994393084922946,27.0
300,0.7653955808421157,47.0
305,0.2624772876667219,12.0
305,0.0,0.0
310,0.1435084860933938,18.0
310,1.570792585024084,125.0
315,1.5707196029776678,78.0
315,0.2082290124287703,9.0
320,0.303808972317393,19.0
320,0.0,0.0
330,0.0486883394673242,19.0
330,0.5214499797108935,104.0
335,0.1822937767869067,152.0
335,0.1919675072301187,18.0
340,1.5951610743411375,195.0
345,1.0484221283300748,116.0
350,0.1022188627865551,18.0
350,0.079855533316582,21.0
355,0.5402494218018459,38.0
355,0.1232717744632099,15.0
360,0.9904357008892818,74.0
360,0.221574109095693,20.0
365,0.898946201278185,99.0
365,0.0890934397658799,31.0
370,2.779504964958545,138.0
375,4.003757144392125,135.0
380,5.059748407529981,125.0
385,5.359270324351995,70.0
385,0.157841063031756,28.0
385,0.0612369871402326,5.0
390,0.0787908692685063,17.0
390,0.1798681493398253,30.0
390,0.0734843845682792,6.0
395,0.1091569197913318,6.0
395,0.3633555546857779,17.0
395,2.7948982308246904,1.0
395,0.0,0.0
400,0.0787160813271052,8.0
400,3.906885733828776,6.0
400,0.2074067160305397,38.0
405,0.1328334397028671,32.0
405,0.4435561821773639,22.0
405,4.8769434122714586,7.0
410,0.0706834006497364,1.0
410,0.0248521687845134,25.0
410,3.877344573234984,0.0
415,0.4739837776949961,9.0
415,0.2129990826039485,17.0
415,2.7490202878446337,9.0
420,0.3689221069480257,33.0
420,0.0433835746274856,16.0
420,3.449557829027224,12.0
420,0.1129978830047476,12.0
425,0.0809642892206839,13.0
425,0.2182481310471458,45.0
425,0.0751465837022855,0.0
430,0.2067266926542483,27.0
430,0.0930211401913553,27.0
435,0.2674431843993665,10.0
435,0.09830986589529,31.0
435,0.1779987944544907,5.0
440,0.3369694172843779,19.0
440,0.1836906450909136,20.0
440,0.1642555756479804,9.0
440,0.0,0.0
445,0.2209874832098544,42.0
445,0.3435628238777844,2.0
445,0.2601440309634841,14.0
450,0.0094332145754436,25.0
450,0.3650043744531934,14.0
455,0.190836327203532,24.0
455,0.2201224846894138,18.0
455,0.3174436090225567,15.0
460,0.2887484480267041,21.0
460,0.1666666666666665,15.0
460,0.2107769423558894,11.0
465,0.0955849144619983,22.0
465,0.0857142857142855,18.0
465,2.7061857346067875,144.0
470,0.1104170207943792,25.0
470,4.310957799905168,221.0
475,0.0813833118474961,25.0
475,5.731004418484623,294.0
480,0.1769696455859594,33.0
480,7.375732748311327,365.0
485,0.1307402445632002,29.0
485,0.0591936242582138,13.0
485,8.737406911229867,427.0
490,0.1408587792097365,31.0
490,0.0442951028661858,43.0
495,0.2217088600598173,33.0
495,0.1270935606180716,45.0
495,0.3924475500923505,23.0
495,0.0,0.0
500,0.0931238825172875,49.0
500,0.1333884431939509,19.0
500,0.1352736556160021,36.0
505,0.0970499973828817,65.0
505,0.0837035665802787,9.0
510,0.0998164935526763,63.0
510,0.2212622389060906,24.0
510,0.2165864494631617,6.0
515,0.2461453393656783,111.0
515,0.1837679166446291,7.0
515,0.1204089163232777,8.0
520,0.2700658632862022,157.0
520,0.6114063421463369,4.0
520,0.4164489342571531,11.0
525,0.5536537443317102,186.0
530,0.709358209358209,206.0
535,0.5730966847702994,23.0
535,1.4482370748193532,190.0
540,0.0130818754404222,19.0
540,1.4309551208285385,127.0
545,1.1226324102738632,66.0
545,0.00130720542209,9.0
545,0.1053300566785515,9.0
545,1.010788262370541,6.0
550,1.363611198927071,82.0
550,0.3993058726218768,15.0
550,0.0829651642352182,6.0
555,1.212333390116401,85.0
555,0.2722082926062641,1.0
555,0.1903003875300422,3.0
555,0.8773964195537889,41.0
560,1.0316251763527962,76.0
560,0.5494344180291109,8.0
560,1.0488379669644563,42.0
560,0.1513391799338728,4.0
565,0.6801979442036924,46.0
565,0.2912140652908639,17.0
570,0.1515462588104347,28.0
570,0.0416767039753914,5.0
570,1.3130417570122574,84.0
575,0.238128607739269,12.0
575,0.0212682341783794,12.0
575,1.187790752996193,88.0
580,0.5590231796845552,10.0
580,1.2320570132941195,81.0
580,0.0845370513826806,20.0
585,0.2950616675614803,71.0
585,0.7542312848324191,22.0
585,0.1240911204924504,6.0
590,0.350494152676137,53.0
590,0.1758972857021691,27.0
590,0.0607842936401946,37.0
590,0.514552182932059,10.0
595,1.1572615424080042,48.0
595,0.1137946515239759,40.0
595,0.0504431728800531,7.0
595,0.0640166872319173,16.0
600,0.0314662201514268,31.0
600,2.2965302062362225,97.0
600,0.0760368663594469,5.0
600,0.013790956415229,14.0
605,3.187589326437959,151.0
610,0.6506133010918369,82.0
610,1.913495609799252,134.0
615,0.9677803239863942,127.0
620,1.2502764193828972,158.0
625,0.4551435143514351,3.0
625,1.2399169422587146,186.0
630,0.3850915091509149,6.0
630,0.2276910386201725,2.0
635,0.528624347674981,32.0
635,0.3177177717771777,8.0
635,0.1162309711286089,5.0
640,0.0278836113227782,5.0
640,0.1920803317445145,8.0
640,0.0846025896025899,20.0
645,0.2240817173693882,0.0
645,0.2007322821857374,27.0
645,0.0636422463321118,0.0
645,0.2226713289885687,8.0
650,0.489662574868054,22.0
650,0.1469755796654449,8.0
650,0.400932068122245,12.0
650,0.0476126692764439,17.0
655,0.1062323361009824,10.0
655,0.1229418338836677,8.0
655,0.0538775809202883,45.0
655,0.0557781864625797,2.0
655,0.5417290605969851,62.0
660,0.0722956845172723,20.0
660,0.1019793735916019,0.0
660,0.0681701803403608,11.0
660,0.6310272536687629,24.0
660,0.5550540515085235,112.0
665,0.1152881992939444,10.0
665,0.078774193548387,3.0
665,0.0437938222846867,5.0
665,0.0,0.0
665,0.0,0.0
665,1.189382274246764,177.0
670,0.01996124798088,5.0
670,0.032,4.0
670,0.6360488587134298,169.0
675,0.1413628421665698,8.0
675,0.0771811023622047,9.0
675,0.1009334716993037,40.0
675,1.3904663278576042,208.0
680,0.0805444278443189,17.0
680,0.051228346456693,5.0
680,0.0588602201267885,3.0
685,0.4969285193412011,31.0
685,0.1063622047244094,14.0
685,0.010778944505012,4.0
685,0.1502012470266172,7.0
690,0.7586353113026176,50.0
690,0.0587716535433071,4.0
690,0.015985650742646,5.0
690,0.388910216758354,14.0
695,1.4614419785239616,67.0
695,0.0711587503175006,1.0
695,0.0174190888476603,6.0
695,0.8123837190625014,33.0
700,1.0417845842131026,116.0
705,1.1270346552560124,108.0
710,0.0824764737355617,110.0
710,0.0321782178217821,3.0
710,0.4241214667685253,27.0
715,0.0676817681768175,2.0
715,0.4842968790978231,2.0
715,0.2165779645191407,100.0
715,0.0324042950513538,11.0
720,0.271458169420404,5.0
720,0.1633999660470245,18.0
720,0.0063756375637562,4.0
720,1.7205428231898825,108.0
725,0.1283477576711249,8.0
725,0.1882604606134017,13.0
725,0.1102610261026102,3.0
730,0.0800194572452637,5.0
730,0.6652838639196288,18.0
730,0.048904890489049,2.0
730,0.1250145791322265,39.0
730,0.5464903864903865,87.0
735,0.0344567332309269,7.0
735,0.1255153855153854,22.0
735,0.0124152378917342,12.0
735,0.0208551467391636,4.0
735,0.0598743598743599,60.0
740,0.0867310905296296,23.0
740,0.0584331797235022,7.0
740,0.1561055548397317,38.0
740,0.0838944451602677,10.0
740,0.068171102824568,2.0
740,0.4001444451602679,8.0
745,0.0333075636873103,25.0
745,0.0018330773169482,10.0
745,0.2317985384508921,21.0
745,0.0431481923702574,5.0
750,0.2358363953300664,65.0
750,0.0031746031746031,5.0
750,0.1925800867641601,4.0
750,0.0856524427952997,1.0
755,0.0053968253968255,1.0
755,0.6587311172346888,105.0
760,0.7368005457991672,144.0
765,1.312312534565065,187.0
770,0.0317460317460319,0.0
770,0.0555555555555556,2.0
770,0.372449947223241,13.0
770,1.2735758114051636,177.0
775,0.2006540294535939,19.0
775,0.0317460317460318,0.0
775,1.6079240966768773,175.0
780,1.3394082521181827,119.0
785,0.8736581325780941,72.0
785,1.1756152621214304,84.0
785,0.0902171362497105,10.0
785,0.1321709786276715,1.0
785,0.7769223951003221,38.0
785,0.0226757369614513,1.0
790,0.5060354942990124,27.0
790,0.1162979627546557,1.0
790,0.0800879805552704,21.0
790,0.0585446299732015,1.0
795,0.8451922866286155,12.0
795,0.0895043119610049,4.0
795,0.4101648351648351,2.0
795,0.0308813324080501,0.0
795,0.017831374974232,7.0
800,0.1712930835068239,9.0
800,0.0496497292677123,8.0
800,0.1859939587912913,11.0
800,0.0957730388423457,1.0
800,0.0554009482580912,1.0
805,0.0948362070499473,5.0
805,0.1116004724429116,18.0
805,0.3242971628552881,7.0
805,0.1825019040365575,5.0
805,0.0680272108843538,1.0
810,0.9015746863524144,6.0
810,0.2550825371848187,15.0
810,0.0732930234862137,14.0
810,0.0943619872191301,1.0
810,0.2537489296320869,5.0
1300,0.2357054211989407,7.0
1300,0.3147590434384362,28.0
1300,0.0803921568627449,1.0
1305,0.2199894845953067,5.0
1305,0.8045515666254838,56.0
1305,0.0945098039215684,6.0
1305,0.6373992906395699,17.0
1310,0.8504748539732099,78.0
1310,0.110300051203277,4.0
1310,0.0041739468064454,0.0
1310,0.4099928541603516,34.0
1315,0.0931674347158217,5.0
1315,0.0401863715783341,0.0
1315,0.9444552551224336,119.0
1320,1.1044799165429078,130.0
1325,0.1956386047731443,10.0
1325,1.587794958122961,130.0
1330,0.5511778024152405,45.0
1330,0.2008644112247572,12.0
1330,1.279686513899606,92.0
1335,0.4591971450378531,47.0
1335,0.1009849447763809,28.0
1335,0.006283766063467,7.0
1335,0.4734333565871133,1.0
1340,0.8812277275054183,54.0
1340,0.340876978305401,13.0
1340,0.4231904967785738,2.0
1340,0.2996984002098086,1.0
1345,0.2193218358944542,4.0
1345,0.105232100708104,8.0
1345,0.1642270873995602,10.0
1345,1.828107435554876,137.0
120,0.3922667563258545,1.0
120,0.4128712934295324,6.0
125,0.4479979763265914,11.0
125,0.8004485235172347,7.0
130,0.0587421350785538,20.0
130,0.0217825921022573,8.0
135,0.1357227620175573,5.0
135,0.0121069867593651,35.0
135,0.0,0.0
140,0.2035485821922316,2.0
140,0.0718434707229843,8.0
145,0.141703801768925,31.0
145,0.1153377684645358,2.0
150,0.1381530980440899,46.0
150,0.3058956823517404,0.0
155,0.2376276097976866,57.0
155,0.3119138511789324,4.0
160,0.5175834166905416,80.0
160,0.1544534041032969,27.0
165,0.092530936488981,112.0
165,0.2472603858323976,12.0
170,0.2925936969812091,117.0
175,0.8750220828982186,123.0
180,0.4514346419276308,59.0
180,0.159260409788086,6.0
185,0.0244609709761214,3.0
185,0.918811871335642,47.0
185,0.5789517314755024,73.0
190,0.0742860171247503,9.0
190,0.5065241008634752,41.0
195,0.2240029283163397,81.0
195,0.0146374857346874,27.0
200,0.0070510838165659,25.0
200,0.0798982907330108,58.0
205,0.363918628819607,144.0
205,0.025093809612394,23.0
210,0.2389139909615804,150.0
210,0.0101906571890094,23.0
215,0.2382021533486299,198.0
215,0.0412370216613497,14.0
220,0.2182893028949475,216.0
220,0.0017997922241202,17.0
225,0.6466152137361835,327.0
230,0.2535249731838676,304.0
230,0.0918390086431322,11.0
230,0.0410582568821558,36.0
235,0.3186744823601486,524.0
235,0.2778466707224167,5.0
235,0.6376744357768159,35.0
240,0.7105921272735345,529.0
245,1.4796190158098272,554.0
250,1.5938974655573848,479.0
255,0.8636828758286247,474.0
260,0.1994346274142433,64.0
260,0.0,0.0
260,0.5095069324990477,11.0
265,1.1370801365941274,20.0
265,0.3315362325533069,1.0
270,1.7712321024499666,34.0
270,0.0188129899216126,6.0
275,0.0,0.0
275,1.219120854709656,62.0
280,0.2572111316715011,73.0
280,0.0,0.0
285,0.8613401678680546,147.0
290,2.022582424844271,239.0
295,3.2556519417295564,267.0
300,2.1808836859591305,211.0
305,1.2629852155689256,152.0
310,0.7415010395556932,84.0
315,0.386800793550225,44.0
320,0.2772077631131227,13.0
325,0.2804603780757839,2.0
330,0.3120722033155582,11.0
335,0.1582801694110215,12.0
340,0.4918593652779515,16.0
345,0.4311722316626407,5.0
350,0.068538125764195,1.0
355,0.1399541756157701,2.0
355,0.380549466163277,6.0
360,0.1407388363220332,12.0
365,0.0126702534307706,6.0
365,0.1466325660699063,13.0
370,0.1539800611129973,9.0
370,0.1747960053586653,4.0
375,0.2070384748918977,6.0
375,0.0451440016149402,6.0
380,0.0410580332249682,10.0
380,0.1385774746773942,25.0
385,0.2335462498290357,2.0
385,0.1903527793938754,19.0
390,0.3410063254455358,15.0
390,0.2551146841557801,24.0
395,0.0235730953985338,6.0
395,0.013209922251018,17.0
400,0.1888003923861817,3.0
400,0.1122245821885331,14.0
405,0.321148575954657,6.0
405,0.0144049312470364,12.0
410,0.4505311611983481,8.0
410,0.0703508771929823,8.0
415,0.1270547593246189,9.0
415,0.0045187292555714,6.0
420,0.3124491608033662,12.0
420,0.1153295400663821,1.0
425,0.2215530919330676,16.0
425,0.0379279279279278,1.0
430,0.6050752368398314,10.0
430,0.1755523944997631,9.0
435,0.4508343085727269,3.0
435,0.1208358177932799,13.0
440,0.2457730525110513,15.0
440,0.0948512896458101,0.0
445,0.265192419930135,20.0
445,0.0872837220782424,5.0
450,0.6735353585372903,5.0
450,0.0541305689250896,0.0
455,0.0799589724057777,12.0
455,0.0727162779217573,2.0
460,0.339745871694109,32.0
460,0.0417203504874738,10.0
465,0.0052447788254658,24.0
465,0.0066666666666664,5.0
470,0.3051281538246063,22.0
470,0.0437837837837836,1.0
475,0.2255166217430369,24.0
475,0.056085176085176,8.0
120,0.2041406494937377,99.0
125,0.0420926453455328,67.0
130,0.0768530510569425,62.0
135,0.1424418458704836,61.0
140,0.1443791551221229,30.0
145,0.2199330661154521,0.0
150,0.3983274520134137,0.0
155,0.3642352083607462,0.0
160,0.2062863869543699,0.0
165,0.1963293178505921,0.0
170,0.220364274477079,0.0
175,0.4538153073761044,0.0
180,0.185818124286648,0.0
185,0.2192367507780947,0.0
190,0.5450204711128686,0.0
195,0.5232140728875484,0.0
200,0.3618870905682554,0.0
225,0.0,0.0
350,2.322618114895009,541.0
355,2.1745618700645704,513.0
360,1.1515972126856877,473.0
365,1.363809727710105,454.0
370,2.700406347482148,473.0
375,1.9912459888245664,475.0
380,1.3147761694639932,451.0
385,1.088189258094601,444.0
390,0.9829920115375634,467.0
395,0.6414935390234487,427.0
400,0.6722514939191413,379.0
405,0.6176195440521802,379.0
410,0.3056071025200198,394.0
410,0.0,0.0
415,0.0535741767096633,355.0
420,0.1410897822027965,348.0
425,0.0372319179600237,355.0
430,0.1192076392293117,333.0
435,0.1529724721298621,300.0
440,0.1501511339667801,284.0
445,0.1179074391524677,276.0
120,0.0639822818296476,4.0
125,0.543452705733786,14.0
125,0.1344243132670952,5.0
130,0.5114386551336265,8.0
135,0.4995035196336437,9.0
135,0.0,0.0
135,0.0,0.0
140,0.3395527100415135,4.0
145,1.212338231695948,268.0
150,0.9058153760205496,131.0
155,0.832341584590102,47.0
155,0.1785765447731601,4.0
160,0.6206540689387235,19.0
160,0.00154573244823,6.0
165,0.3728010733848078,29.0
165,0.0415449055133452,1.0
165,0.1505653402913676,8.0
170,0.2733795281393684,30.0
170,0.2735920852359205,10.0
170,0.1744106760179228,6.0
175,0.5107560650809702,30.0
175,0.3610559127216055,2.0
175,0.1666666666666667,12.0
180,0.8135693643137072,22.0
180,0.0,0.0
180,0.3288720046756282,3.0
185,1.3574786140233546,20.0
185,0.3413208649912335,4.0
190,1.340663725295236,14.0
190,0.0452951490356517,5.0
195,0.6954823458505632,21.0
200,0.0765216833246834,27.0
200,0.0,0.0
205,0.7871603740975525,29.0
210,0.8787040479138768,11.0
215,1.208226800411102,11.0
220,0.3052603064671978,12.0
225,0.306147058213276,13.0
230,0.144482980298831,34.0
235,0.0482881040385189,24.0
