,Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
0,4_076_1.mp4,1,48,29,0,0,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,67.36522722244263
1,3_106_1.mp4,1,47,3,4,29,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,74.11442399024963
2,1_067_1.mp4,1,24,29,0,0,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,47.49059128761292
3,1_066_1.mp4,1,25,42,0,16,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,74.9148907661438
4,2_096_1.mp4,1,39,45,0,0,a person riding a bicycle,a person riding a bicycle,84,15.0,75.78476858139038
5,4_077_1.mp4,1,43,16,0,0,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,50.14148354530335
6,3_105_1.mp4,1,53,61,0,0,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,102.10070490837096
7,2_067_1.mp4,1,29,115,0,0,a certain number of persons fighting,a certain number of persons fighting,144,25.0,128.7447166442871
8,4_082_1.mp4,1,154,25,0,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,152.3187608718872
9,3_079_1.mp4,1,103,107,5,48,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,240.13200426101685
10,2_065_1.mp4,1,131,133,0,0,a certain number of persons fighting,a certain number of persons fighting,264,45.0,236.6421992778778
11,1_081_1.mp4,1,28,43,0,0,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,64.00254702568054
12,3_089_1.mp4,1,71,35,45,22,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,155.3435184955597
13,1_088_1.mp4,1,163,100,0,0,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,236.2433943748474
14,2_068_1.mp4,1,111,93,0,0,a certain number of persons fighting,a certain number of persons fighting,204,35.0,183.0543792247772
15,1_071_1.mp4,1,65,48,0,0,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,111.576993227005
16,4_079_1.mp4,1,123,80,0,0,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,173.61683678627014
17,3_076_1.mp4,1,174,100,1,17,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,292.2734339237213
18,2_081_1.mp4,1,85,11,0,0,a certain number of persons fighting,a certain number of persons fighting,96,17.0,86.45583748817444
19,1_072_1.mp4,1,123,20,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,133.41362047195437
20,2_077_1.mp4,1,27,38,1,0,a certain number of persons fighting,a certain number of persons fighting,66,12.0,59.754844427108765
21,4_096_1.mp4,1,80,51,0,0,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,111.82565712928772
22,2_076_1.mp4,1,64,80,0,0,a certain number of persons fighting,a certain number of persons fighting,144,25.0,129.24571895599365
23,4_103_1.mp4,1,69,32,0,0,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,86.0650703907013
24,1_083_1.mp4,1,42,41,0,0,a certain number of persons fighting,a certain number of persons fighting,83,14.981633333333331,74.64332270622253
25,4_105_1.mp4,1,103,100,0,0,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,172.82818698883057
26,2_086_1.mp4,1,168,114,12,0,a certain number of persons fighting,a certain number of persons fighting,294,50.0,277.007404088974
27,3_078_1.mp4,1,47,224,4,18,a certain number of persons fighting,a certain number of persons fighting,293,50.01663333333333,270.2984223365784
28,4_081_1.mp4,1,53,60,0,0,a certain number of persons fighting,a certain number of persons fighting,113,19.966666666666665,96.2042999267578
29,3_095_1.mp4,1,69,74,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,132.57733464241028
30,1_069_1.mp4,1,163,44,12,14,a certain number of persons fighting,a certain number of persons fighting,233,40.00663333333333,225.0597624778748
31,2_084_1.mp4,1,33,29,32,20,a certain number of persons fighting,a certain number of persons fighting,114,20.0,103.60276246070862
32,1_086_1.mp4,1,65,76,1,1,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,132.7029006481171
33,2_079_1.mp4,1,72,42,0,0,a certain number of persons fighting,a certain number of persons fighting,114,20.0,104.29208135604858
34,4_093_1.mp4,1,114,29,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.966666666666665,121.78560447692873
