Name,Mode,Precision,Recall,Event,Validations Number,Duration,Process time
4_076_1.mp4,0,1.0,1.0,a person riding a bicycle,16,13.966666666666667,36.06169891357422
4_076_1.mp4,1,0.6363636363636364,0.30434782608695654,a person riding a bicycle,77,13.966666666666667,185.7329921722412
4_076_1.mp4,2,0.8928571428571429,0.5555555555555556,a person riding a bicycle,77,13.966666666666667,112.77930951118469
4_076_1.mp4,3,1.0,1.0,a person riding a bicycle,16,13.966666666666667,55.71741199493408
4_076_1.mp4,4,1.0,0.4583333333333333,a person riding a bicycle,83,13.966666666666667,14.203319549560547
3_106_1.mp4,0,1.0,1.0,a person riding a bicycle,43,14.981633333333333,82.15186810493469
3_106_1.mp4,1,0.8333333333333334,0.967741935483871,a person riding a bicycle,83,14.981633333333333,204.37706851959229
3_106_1.mp4,2,0.819672131147541,0.9803921568627451,a person riding a bicycle,83,14.981633333333333,142.49900937080383
3_106_1.mp4,3,1.0,1.0,a person riding a bicycle,43,14.981633333333333,122.77592086791992
3_106_1.mp4,4,1.0,0.9607843137254902,a person riding a bicycle,89,14.981633333333333,15.984877347946167
1_067_1.mp4,0,1.0,1.0,a person riding a bicycle,15,9.976633333333334,33.402815103530884
1_067_1.mp4,1,0.9411764705882353,0.9411764705882353,a person riding a bicycle,53,9.976633333333334,130.98006749153137
1_067_1.mp4,2,0.9545454545454546,0.9545454545454546,a person riding a bicycle,53,9.976633333333334,93.57889413833618
1_067_1.mp4,3,1.0,1.0,a person riding a bicycle,15,9.976633333333334,50.20907378196716
1_067_1.mp4,4,1.0,0.875,a person riding a bicycle,59,9.976633333333334,10.61131501197815
1_066_1.mp4,0,1.0,1.0,a person riding a bicycle,19,14.981633333333333,44.99138116836548
1_066_1.mp4,1,0.5,1.0,a person riding a bicycle,83,14.981633333333333,212.85786509513855
1_066_1.mp4,2,0.7575757575757576,1.0,a person riding a bicycle,83,14.981633333333333,144.3058786392212
1_066_1.mp4,3,1.0,1.0,a person riding a bicycle,19,14.981633333333333,63.88531136512756
1_066_1.mp4,4,1.0,1.0,a person riding a bicycle,89,14.981633333333333,15.63660478591919
2_096_1.mp4,0,1.0,1.0,a person riding a bicycle,33,15.0,66.3889946937561
2_096_1.mp4,1,1.0,1.0,a person riding a bicycle,84,15.0,221.4547061920166
2_096_1.mp4,2,0.9069767441860465,1.0,a person riding a bicycle,84,15.0,144.61828589439392
2_096_1.mp4,3,1.0,1.0,a person riding a bicycle,33,15.0,107.53659677505493
2_096_1.mp4,4,1.0,1.0,a person riding a bicycle,90,15.0,16.07102680206299
4_077_1.mp4,0,1.0,1.0,a person riding a bicycle,23,10.966666666666667,41.275989055633545
4_077_1.mp4,1,1.0,0.9166666666666666,a person riding a bicycle,59,10.966666666666667,149.74323534965515
4_077_1.mp4,2,0.9512195121951219,0.975,a person riding a bicycle,59,10.966666666666667,88.23777842521667
4_077_1.mp4,3,1.0,1.0,a person riding a bicycle,23,10.966666666666667,69.5649344921112
4_077_1.mp4,4,1.0,0.6744186046511628,a person riding a bicycle,65,10.966666666666667,11.256869316101074
3_105_1.mp4,0,1.0,1.0,a person riding a bicycle,45,20.053366666666665,90.38759541511536
3_105_1.mp4,1,0.8157894736842105,1.0,a person riding a bicycle,114,20.053366666666665,294.90289759635925
3_105_1.mp4,2,0.8833333333333333,1.0,a person riding a bicycle,114,20.053366666666665,197.6836051940918
3_105_1.mp4,3,1.0,1.0,a person riding a bicycle,45,20.053366666666665,143.89717411994934
3_105_1.mp4,4,1.0,0.9622641509433962,a person riding a bicycle,120,20.053366666666665,21.419147968292236
