Mode,AP,Process time
Detector + MLLM + Information ,0.02830188679245283,3.0506820491112414
Detector + Rules,0.4060482234928133,1.0160600934336834
Detector + Rules + MLLM,0.0625,1.3712585067579388
Detector + Rules + MLLM + Information,0.09375,1.3774325459891155
MLLM,0.02358490566037736,2.213498527957781
