Mode,AP,Process time
Detector + MLLM + Information ,0.8302802129680159,3.0292234473379502
Detector + Rules,0.7393057871622902,1.0045979027585645
Detector + Rules + MLLM,0.8446999152442921,1.9158780330493619
Detector + Rules + MLLM +Info,0.9567761764825825,1.9347841277504898
MLLM,0.7472360591091077,2.1831630331484857
