Name,Mode,Precision,Recall,Event,Validations Number,Duration,Process time
1_067_1.mp4,2,0.8518518518518519,0.9583333333333334,a person riding a bicycle,53,9.976633333333334,30.317212104797363
1_067_1.mp4,3,1.0,1.0,a person riding a bicycle,15,9.976633333333334,16.33609127998352
1_067_1.mp4,4,1.0,0.875,a person riding a bicycle,59,9.976633333333334,10.65875506401062
1_066_1.mp4,0,1.0,1.0,a person riding a bicycle,19,14.981633333333331,23.01189970970153
1_066_1.mp4,1,0.8518518518518519,0.92,a person riding a bicycle,83,14.981633333333331,33.677144289016724
1_066_1.mp4,2,0.8620689655172413,1.0,a person riding a bicycle,83,14.981633333333331,46.849015951156616
1_066_1.mp4,3,1.0,1.0,a person riding a bicycle,19,14.981633333333331,22.959452390670776
1_066_1.mp4,4,1.0,1.0,a person riding a bicycle,89,14.981633333333331,15.756926774978638
2_096_1.mp4,0,1.0,1.0,a person riding a bicycle,33,15.0,28.53859925270081
2_096_1.mp4,1,1.0,0.9743589743589745,a person riding a bicycle,84,15.0,34.49418258666992
2_096_1.mp4,2,0.975,1.0,a person riding a bicycle,84,15.0,47.68997931480408
2_096_1.mp4,3,1.0,1.0,a person riding a bicycle,33,15.0,28.424358129501343
2_096_1.mp4,4,1.0,1.0,a person riding a bicycle,90,15.0,15.989192008972168
4_077_1.mp4,0,1.0,1.0,a person riding a bicycle,23,10.966666666666669,19.1340069770813
4_077_1.mp4,1,0.8823529411764706,0.6976744186046512,a person riding a bicycle,59,10.966666666666669,21.31595563888549
4_077_1.mp4,2,0.8823529411764706,0.6976744186046512,a person riding a bicycle,59,10.966666666666669,31.27134895324707
4_077_1.mp4,3,1.0,1.0,a person riding a bicycle,23,10.966666666666669,19.05422759056092
4_077_1.mp4,4,1.0,0.6744186046511628,a person riding a bicycle,65,10.966666666666669,11.19340753555298
3_105_1.mp4,0,1.0,1.0,a person riding a bicycle,45,20.053366666666665,38.34079384803772
3_105_1.mp4,1,0.92,0.8679245283018868,a person riding a bicycle,114,20.053366666666665,46.82997155189514
3_105_1.mp4,2,0.9285714285714286,0.981132075471698,a person riding a bicycle,114,20.053366666666665,63.96270132064819
3_105_1.mp4,3,1.0,0.9111111111111112,a person riding a bicycle,45,20.053366666666665,38.12161612510681
3_105_1.mp4,4,1.0,0.9622641509433962,a person riding a bicycle,120,20.053366666666665,21.388020038604736
2_065_1.mp4,0,1.0,0.4,a certain number of persons fighting,54,45.0,67.87728905677795
2_065_1.mp4,1,0.4962121212121212,1.0,a certain number of persons fighting,264,45.0,104.78846740722656
2_065_1.mp4,2,0.4516129032258064,0.3206106870229007,a certain number of persons fighting,264,45.0,141.76313829421997
2_065_1.mp4,3,1.0,0.46,a certain number of persons fighting,54,45.0,65.86354541778564
2_065_1.mp4,4,0.8333333333333334,0.3816793893129771,a certain number of persons fighting,270,45.0,46.82919931411743
1_071_1.mp4,0,0.6666666666666666,1.0,a certain number of persons fighting,42,19.986633333333334,36.10974526405335
1_071_1.mp4,1,1.0,0.6307692307692307,a certain number of persons fighting,113,19.986633333333334,45.11593627929688
1_071_1.mp4,2,0.6074766355140186,1.0,a certain number of persons fighting,113,19.986633333333334,61.40271496772766
1_071_1.mp4,3,0.8636363636363636,0.6785714285714286,a certain number of persons fighting,42,19.986633333333334,35.82390236854553
1_071_1.mp4,4,0.5833333333333334,0.4307692307692308,a certain number of persons fighting,119,19.986633333333334,20.64523959159851
4_079_1.mp4,0,0.0,0.0,a certain number of persons fighting,109,34.96666666666667,70.81056070327759
4_079_1.mp4,1,0.3142857142857143,0.2682926829268293,a certain number of persons fighting,203,34.96666666666667,71.33582210540771
4_079_1.mp4,2,0.125,0.008130081300813,a certain number of persons fighting,203,34.96666666666667,101.12626957893372
