Event,percentage
a person riding a bicycle,1.0
a certain number of persons fighting,0.7142857142857143
a group of persons playing,0.5
a person running,0.30434782608695654
a person lying in the floor,0.2222222222222222
a person chasing other person,0.5
everything is normal,1.0
