Name,Mode,Precision,Recall,Event,Validations Number,Duration,Process time
2_096_1.mp4,0,1.0,1.0,a person riding a bicycle,33,15.0,29.383692026138306
2_096_1.mp4,1,1.0,0.9743589743589743,a person riding a bicycle,84,15.0,34.146957874298096
2_096_1.mp4,2,0.975,1.0,a person riding a bicycle,84,15.0,47.36838984489441
2_096_1.mp4,3,1.0,0.9696969696969697,a person riding a bicycle,33,15.0,28.516560792922974
2_096_1.mp4,4,1.0,1.0,a person riding a bicycle,90,15.0,16.062605381011963
3_105_1.mp4,0,1.0,1.0,a person riding a bicycle,45,20.053366666666665,38.347368001937866
3_105_1.mp4,1,0.92,0.8679245283018868,a person riding a bicycle,114,20.053366666666665,46.763834714889526
3_105_1.mp4,2,0.9107142857142857,0.9622641509433962,a person riding a bicycle,114,20.053366666666665,63.967379093170166
3_105_1.mp4,3,1.0,0.6444444444444445,a person riding a bicycle,45,20.053366666666665,38.268141746520996
3_105_1.mp4,4,1.0,0.9622641509433962,a person riding a bicycle,120,20.053366666666665,21.40295100212097
4_076_1.mp4,0,1.0,1.0,a person riding a bicycle,16,13.966666666666667,19.64648461341858
4_076_1.mp4,1,0.88,0.4583333333333333,a person riding a bicycle,77,13.966666666666667,27.36731481552124
4_076_1.mp4,2,0.8518518518518519,0.4791666666666667,a person riding a bicycle,77,13.966666666666667,40.000357151031494
4_076_1.mp4,3,1.0,1.0,a person riding a bicycle,16,13.966666666666667,19.65097451210022
4_076_1.mp4,4,1.0,0.4583333333333333,a person riding a bicycle,83,13.966666666666667,14.224445343017578
1_069_1.mp4,0,1.0,0.9514563106796117,a certain number of persons fighting,103,40.00663333333333,80.04974484443665
1_069_1.mp4,1,0.9893617021276596,0.5314285714285715,a certain number of persons fighting,233,40.00663333333333,95.02856183052063
1_069_1.mp4,2,0.8578947368421053,0.9314285714285714,a certain number of persons fighting,233,40.00663333333333,128.75562834739685
1_069_1.mp4,3,1.0,0.0970873786407767,a certain number of persons fighting,103,40.00663333333333,79.61863803863525
1_069_1.mp4,4,1.0,0.6411764705882353,a certain number of persons fighting,228,40.00663333333333,40.0512809753418
2_065_1.mp4,0,1.0,0.4,a certain number of persons fighting,54,45.0,65.01507329940796
2_065_1.mp4,1,0.4962121212121212,1.0,a certain number of persons fighting,264,45.0,104.07785677909851
2_065_1.mp4,2,0.45161290322580644,0.32061068702290074,a certain number of persons fighting,264,45.0,145.73611736297607
2_065_1.mp4,3,1.0,0.46,a certain number of persons fighting,54,45.0,67.71041679382324
2_065_1.mp4,4,0.8333333333333334,0.3816793893129771,a certain number of persons fighting,270,45.0,47.505040407180786
2_079_1.mp4,0,0.9743589743589743,0.8636363636363636,a certain number of persons fighting,48,20.0,39.173686027526855
2_079_1.mp4,1,0.5729166666666666,0.7638888888888888,a certain number of persons fighting,114,20.0,46.20699167251587
2_079_1.mp4,2,0.9122807017543859,0.7222222222222222,a certain number of persons fighting,114,20.0,64.21938705444336
2_079_1.mp4,3,0.9642857142857143,0.6136363636363636,a certain number of persons fighting,48,20.0,39.15028214454651
2_079_1.mp4,4,0.9259259259259259,0.6944444444444444,a certain number of persons fighting,120,20.0,21.38059639930725
1_093_1.mp4,0,0.8263888888888888,1.0,a group of persons playing,149,150.11663333333334,213.19868874549866
1_093_1.mp4,1,0.6683608640406608,0.9924528301886792,a group of persons playing,893,150.11663333333334,358.56233286857605
1_093_1.mp4,2,0.6793193717277487,0.9792452830188679,a group of persons playing,893,150.11663333333334,489.19652485847473
1_093_1.mp4,3,0.815068493150685,1.0,a group of persons playing,149,150.11663333333334,212.8244869709015
1_093_1.mp4,4,0.7935483870967742,0.23163841807909605,a group of persons playing,899,150.11663333333334,157.13431572914124
1_094_1.mp4,0,0.7486033519553073,1.0,a group of persons playing,179,65.03163333333333,136.72817993164062
1_094_1.mp4,1,0.6575342465753424,1.0,a group of persons playing,383,65.03163333333333,156.44484949111938
1_094_1.mp4,2,0.7082066869300911,0.9708333333333333,a group of persons playing,383,65.03163333333333,210.7466757297516
1_094_1.mp4,3,0.8472222222222222,0.9104477611940298,a group of persons playing,179,65.03163333333333,135.94333410263062
1_094_1.mp4,4,0.7243243243243244,0.5583333333333333,a group of persons playing,389,65.03163333333333,68.67356133460999
3_102_1.mp4,0,0.7046263345195729,0.9949748743718593,a group of persons playing,284,80.04663333333333,192.42073822021484
3_102_1.mp4,1,0.7016574585635359,0.9694656488549618,a group of persons playing,473,80.04663333333333,190.43485927581787
3_102_1.mp4,2,0.6463104325699746,0.9694656488549618,a group of persons playing,473,80.04663333333333,252.9584047794342
3_102_1.mp4,3,0.8827160493827161,0.7185929648241206,a group of persons playing,284,80.04663333333333,184.22891783714294
3_102_1.mp4,4,0.6862068965517242,0.7595419847328244,a group of persons playing,479,80.04663333333333,81.65432596206665
3_093_1.mp4,0,0.8484848484848485,0.8235294117647058,a person running,42,35.00163333333333,52.42300295829773
3_093_1.mp4,1,0.46153846153846156,0.26865671641791045,a person running,203,35.00163333333333,82.54017353057861
3_093_1.mp4,2,0.33076923076923076,0.6417910447761194,a person running,203,35.00163333333333,113.2851791381836
3_093_1.mp4,3,0.8333333333333334,0.4411764705882353,a person running,42,35.00163333333333,53.102458000183105
3_093_1.mp4,4,0.7419354838709677,0.6865671641791045,a person running,203,35.00163333333333,37.371657609939575
3_087_1.mp4,0,1.0,0.4375,a person running,21,19.986633333333334,29.416349172592163
3_087_1.mp4,1,1.0,0.13513513513513514,a person running,113,19.986633333333334,46.20005226135254
