Name,Event,Mode,TP,FP,FN,TN
4_087_1,a video of a person running,2,0,0,0,36
2_075_1,a video of a person running,2,0,0,0,0
D001_03,a video of a person running,2,12,4,0,27
4_090_1,a video of a person running,2,0,0,0,29
2_085_1,a video of a person running,2,4,5,0,31
3_085_1,a video of a person running,2,6,18,0,55
4_088_1,a video of a person running,2,10,16,0,31
1_096_1,a video of a person running,2,5,5,0,8
4_080_1,a video of a person running,2,18,2,0,49
D014_02,a video of a person running,2,0,0,0,0
1_070_1,a video of a person running,2,20,0,0,21
4_078_1,a video of a person running,2,10,0,0,25
000304,a video of a person running,2,4,0,0,89
000288,a video of a person running,2,0,4,0,130
4_104_1,a video of a person running,2,0,0,0,13
000228,a video of a person running,2,0,0,0,49
D158_02,a video of a person running,2,0,0,0,60
2_073_1,a video of a person running,2,7,54,0,127
000234,a video of a person running,2,0,0,0,65
4_112_1,a video of a person running,2,0,0,0,38
2_095_1,a video of a person running,2,36,1,0,16
D001_04,a video of a person running,2,0,0,0,43
3_077_1,a video of a person running,2,53,53,0,16
D031_09,a video of a person running,2,0,0,0,40
2_064_1,a video of a person running,2,5,3,0,43
000260,a video of a person running,2,0,0,0,35
1_079_1,a video of a person running,2,0,0,0,0
4_102_1,a video of a person running,2,0,0,0,28
D014_01,a video of a person running,2,0,0,0,57
3_103_1,a video of a person running,2,22,0,0,0
000224,a video of a person running,2,11,0,0,97
3_097_1,a video of a person running,2,16,34,0,32
000282,a video of a person running,2,0,0,0,49
000259,a video of a person running,2,0,0,0,49
1_095_1,a video of a person running,2,0,0,0,13
3_087_1,a video of a person running,2,23,2,0,0
4_113_1,a video of a person running,2,0,0,0,40
000262,a video of a person running,2,0,0,0,181
000250,a video of a person running,2,0,0,0,139
3_075_1,a video of a person running,2,18,8,0,99
4_100_1,a video of a person running,2,0,0,0,21
4_089_1,a video of a person lying in the floor,2,0,0,0,294
2_080_1,a video of a person lying in the floor,2,0,0,0,134
3_092_1,a video of a person lying in the floor,2,0,0,0,61
1_091_1,a video of a person lying in the floor,2,122,0,0,42
3_099_1,a video of a person lying in the floor,2,2,0,0,55
1_078_1,a video of a person lying in the floor,2,89,0,0,103
4_094_1,a video of a person lying in the floor,2,0,0,0,45
3_086_1,a video of a person lying in the floor,2,75,0,0,376
1_084_1,a video of a person lying in the floor,2,0,0,0,36
2_069_1,a video of a person chasing other person,2,0,0,0,0
000214,a video of a person chasing other person,2,0,0,0,0
1_082_1,a video of a person chasing other person,2,1,0,0,0
3_093_1,a video of a person chasing other person,2,1,0,0,0
2_071_1,a video of a person chasing other person,2,0,0,0,0
3_080_1,a video of a person chasing other person,2,1,0,0,0
4_101_1,a video of a person chasing other person,2,0,0,0,0
4_108_1,a video of a person chasing other person,2,0,0,0,0
4_107_1,a video of a person chasing other person,2,0,0,0,0
000312,a video of a person chasing other person,2,0,0,0,0
4_114_1,a video of a person chasing other person,2,4,0,0,0
000235,a video of a person chasing other person,2,0,0,0,0
3_096_1,a video of a person chasing other person,2,0,0,0,0
1_073_1,a video of a person chasing other person,2,4,0,0,0
000307,a video of a person chasing other person,2,0,0,0,0
3_091_1,a video of a person chasing other person,2,0,0,0,0
000264,a video of a person chasing other person,2,0,0,0,0
4_083_1,a video of a person chasing other person,2,0,0,0,0
2_078_1,a video of a person chasing other person,2,0,0,0,0
2_077_1,a video of a person chasing other person,2,7,0,0,0
1_087_1,a video of a person chasing other person,2,0,0,0,0
000351,a video of a person chasing other person,2,0,0,0,0
000311,a video of a person chasing other person,2,0,0,0,0
D076_03,a video of a person chasing other person,2,0,0,0,0
000305,a video of a person chasing other person,2,0,0,0,0
000316,a video of a person chasing other person,2,0,0,0,0
2_088_1,a video of a person chasing other person,2,0,0,0,0
000212,a video of a person chasing other person,2,0,0,0,0
000231,a video of a person chasing other person,2,0,0,0,0
000356,a video of a person chasing other person,2,0,0,0,0
000257,a video of a person chasing other person,2,0,0,0,0
1_085_1,a video of a person chasing other person,2,10,0,0,0
