Mode,AP,Process time
Detector + MLLM + Information ,0.5820969000583274,5.651734201633923
Detector + Rules,0.4060482234928133,1.0188486261250251
Detector + Rules + MLLM,0.7814789550163899,1.8216407557859444
Detector + Rules + MLLM + Information,0.9251475038688095,1.850421652804639
MLLM,0.5885360691620565,4.883452627942109
